statuscode;leds;comment;readable
126021_114602_S;1-25&1-26;manual;
DEPOT_114602_S;1-25&1-26;22 B-E;
114602_116822_T;3-25&3-26;22 B-E;
114602_116822_S;5-25&5-26;22 B-E;
116822_119322_T;7-25&7-26;22 B-E;
116822_119322_S;9-25&9-26;22 B-E;
119322_679102_T;11-25&11-26;22 B-E;
119322_679102_S;13-25&13-26;22 B-E;
679102_679422_T;15-25&15-26;22 B-E;
679102_679422_S;17-25&17-26;22 B-E;
679422_427201_T;19-25&19-26;22 B-E;
679422_427201_S;21-25&21-26;22 B-E;
427201_427403_T;23-25&23-26;22 B-E;
427201_427403_S;25-25&25-26;22 B-E;
427403_427502_T;27-25&27-26;22 B-E;
427403_427502_S;29-25&29-26;22 B-E;
427502_125202_T;31-25&31-26;22 B-E;
427502_125202_S;33-25&33-26;22 B-E;
125202_125602_T;35-25&35-26;22 B-E;
125202_125602_S;37-25&37-26;22 B-E;
125602_126102_T;39-25&39-26;22 B-E;
125602_126102_S;41-25&41-26;22 B-E;
126102_69522_T;43-25&43-26;22 B-E;
126102_69522_S;45-25&45-26;22 B-E;
69522_69702_T;47-25&47-26;22 B-E;
69522_69702_S;49-25&49-26;22 B-E;
69702_69601_T;51-25&51-26;22 B-E;
69702_69601_S;53-25&53-26;22 B-E;
DEPOT_69601_S;53-23&53-24;22 E-B;
69601_69701_T;51-23&51-24;22 E-B;
69601_69701_S;49-23&49-24;22 E-B;
69701_69501_T;47-23&47-24;22 E-B;
69701_69501_S;45-23&45-24;22 E-B;
69501_126101_T;43-23&43-24;22 E-B;
69501_126101_S;41-23&41-24;22 E-B;
126101_125601_T;39-23&39-24;22 E-B;
126101_125601_S;37-23&37-24;22 E-B;
125601_125201_T;35-23&35-24;22 E-B;
125601_125201_S;33-23&33-24;22 E-B;
125201_427501_T;31-23&31-24;22 E-B;
125201_427501_S;29-23&29-24;22 E-B;
427501_427404_T;27-23&27-24;22 E-B;
427501_427404_S;25-23&25-24;22 E-B;
427404_427202_T;23-23&23-24;22 E-B;
427404_427202_S;21-23&21-24;22 E-B;
427202_679421_T;19-23&19-24;22 E-B;
427202_679421_S;17-23&17-24;22 E-B;
679421_679101_T;15-23&15-24;22 E-B;
679421_679101_S;13-23&13-24;22 E-B;
679101_119321_T;11-23&11-24;22 E-B;
679101_119321_S;9-23&9-24;22 E-B;
119321_116821_T;7-23&7-24;22 E-B;
119321_116821_S;5-23&5-24;22 E-B;
116821_114601_T;3-23&3-24;22 E-B;
116821_114601_S;1-23&1-24;22 E-B;
